BARCODE,ITEM CODE,DESCRIPTION 1,DESCRITION 2,DESCRIPTION 3,UNITS,DIVISION,GROUP,CLASSIFICATION 1,CLASSIFICATION 2, COST , SELLING PRICE , MODEL QUANTITY ,SUPPLIER CODE,MANUFACTURER, QUANTITY , REORDER POINT 
,SD4+-TB,SD4+,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 28.59 , 32.00 ,,UNAHCO FEEDS,, 10 ,
,HM-TB,HM,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 588.78 , 645.00 ,,UNAHCO FEEDS,, 4 ,
,HM-TB,HM,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 24.53 , 27.50 ,,UNAHCO FEEDS,, 13 ,
,POWER-TB,POWER,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 924.17 , 995.00 ,,UNAHCO FEEDS,, 1 ,
,POWER-TB,POWER,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 38.51 , 43.50 ,,UNAHCO FEEDS,, 26 ,
,SUC-TB,SUCCESSOR,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 675.33 , 722.00 ,,UNAHCO FEEDS,, 2 ,
,SUC-TB,SUCCESSOR,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 28.14 , 31.00 ,,UNAHCO FEEDS,, 23 ,
,PIGEON-TB,PIGEON,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 523.86 , 565.00 ,,UNAHCO FEEDS,,,
,PIGEON-TB,PIGEON,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 21.83 , 25.50 ,,UNAHCO FEEDS,, 22 ,
,ENER-TB,ENERTONE,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 632.05 , 680.00 ,,UNAHCO FEEDS,, 13 ,
,ENER-TB,ENERTONE,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 26.34 , 29.50 ,,UNAHCO FEEDS,, 7 ,
,PLAT-TB,PLATINUM,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,," 1,054.00 "," 1,135.00 ",,UNAHCO FEEDS,, 4 ,
,PLAT-TB,PLATINUM,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 43.92 , 49.00 ,,UNAHCO FEEDS,, 5 ,
,BSB/KRAFT-TB,BABY STAG BOOSTER PELLETS,,,20 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 625.89 , 690.00 ,,UNAHCO FEEDS,,,
,BSB/KRAFT-TB,BABY STAG BOOSTER PELLETS,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 31.29 , 36.00 ,,UNAHCO FEEDS,,,
,SD/KRAFT-TB,STAG DEVELOPER PELLETS,,,20 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 589.82 , 655.00 ,,UNAHCO FEEDS,,,
,SD-KRAFT-TB,STAG DEVELOPER PELLETS,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 29.49 , 34.50 ,,UNAHCO FEEDS,,,
,SD4+/KRAFT-TB,STAG DEV 4+,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 587.12 , 660.00 ,,UNAHCO FEEDS,,,
,SD4+/KRAFT-TB,STAG DEV 4+,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 23.48 , 29.00 ,,UNAHCO FEEDS,,,
,HM/KRAFT-TB,HILANDER MAINTENANCE PELLETS,,,20 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 481.63 , 535.00 ,,UNAHCO FEEDS,,,
,HM/KRAFT-TB,HILANDER MAINTENANCE PELLETS,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 24.08 , 27.00 ,,UNAHCO FEEDS,,,
,GMP1-TB,GMP1,,,50 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,," 1,227.00 "," 1,315.00 ",,UNAHCO FEEDS,, 2 ,
,GMP1-TB,GMP1,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 24.54 , 28.00 ,,UNAHCO FEEDS,, 21 ,
,GMP2-TB,GMP2,,,50 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,," 1,152.00 "," 1,240.00 ",,UNAHCO FEEDS,, 4 ,
,GMP2-TB,GMP2,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 23.04 , 26.50 ,,UNAHCO FEEDS,, 63 ,
